Index Name,Date,Open,High,Low,Close
NIFTY 50,2024-08-01,22505.3,22525.65,22430,22493.55
NIFTY 50,2024-08-02,22517.5,22526.6,22307.25,22332.65
NIFTY 50,2024-08-03,22334.45,22452.55,22256,22335.7
NIFTY 50,2024-08-04,22432.2,22446.75,21905.65,21997.7
NIFTY 50,2024-08-05,21982.55,22204.6,21917.5,22146.65
NIFTY 50,2024-08-06,22064.85,22120.9,21931.7,22023.35
NIFTY 50,2024-08-07,21990.1,22123.7,21916.55,22055.7
NIFTY 50,2024-08-08,21946.45,21978.3,21793.1,21817.45
NIFTY 50,2024-08-09,21843.9,21930.9,21710.2,21839.1
NIFTY 50,2024-08-10,21989.9,22080.95,21941.3,22011.95
NIFTY 50,2024-08-11,21932.2,22180.7,21883.3,22096.75
NIFTY 50,2024-08-12,21947.9,22073.2,21947.55,22004.7
NIFTY 50,2024-08-13,22053.95,22193.6,22052.85,22123.65
NIFTY 50,2024-08-14,22163.6,22516,22163.6,22326.9
NIFTY 50,2024-08-15,22455,22529.95,22427.75,22462
NIFTY 50,2024-08-16,22458.8,22497.6,22388.15,22453.3
NIFTY 50,2024-08-17,22385.7,22521.1,22346.5,22434.65
NIFTY 50,2024-08-18,22592.1,22619,22303.8,22514.65
NIFTY 50,2024-08-19,22486.4,22537.6,22427.6,22513.7
NIFTY 50,2024-08-20,22578.35,22697.3,22550.35,22666.3
NIFTY 50,2024-08-21,22765.1,22768.4,22612.25,22642.75
NIFTY 50,2024-08-22,22720.25,22775.7,22673.7,22753.8
NIFTY 50,2024-08-23,22677.4,22726.45,22503.75,22519.4
NIFTY 50,2024-08-24,22339.05,22427.45,22259.55,22272.5
NIFTY 50,2024-08-25,22125.3,22213.75,22079.45,22147.9
NIFTY 50,2024-08-26,22212.35,22326.5,21961.7,21995.85
NIFTY 50,2024-08-27,21861.5,22179.55,21777.65,22147
NIFTY 50,2024-08-28,22336.9,22375.65,22198.15,22336.4
NIFTY 50,2024-08-29,22447.05,22447.55,22349.45,22368
NIFTY 50,2024-08-30,22421.55,22476.45,22384,22402.4
NIFTY 50,2024-08-31,22316.9,22625.95,22305.25,22570.35
NIFTY 50,2024-09-01,22620.4,22620.4,22385.55,22419.95
NIFTY 50,2024-09-02,22475.55,22655.8,22441.9,22643.4
NIFTY 50,2024-09-03,22679.65,22783.35,22568.4,22604.85
NIFTY 50,2024-09-04,22567.85,22710.5,22567.85,22648.2
NIFTY 50,2024-09-05,22766.35,22794.7,22348.05,22475.85
NIFTY 50,2024-09-06,22561.6,22588.8,22409.45,22442.7
NIFTY 50,2024-09-07,22489.75,22499.05,22232.05,22302.5
NIFTY 50,2024-09-08,22231.2,22368.65,22185.2,22302.5
NIFTY 50,2024-09-09,22224.8,22307.75,21932.4,21957.5
NIFTY 50,2024-09-10,21990.95,22131.3,21950.3,22055.2
NIFTY 50,2024-09-11,22027.95,22131.65,21821.05,22104.05
NIFTY 50,2024-09-12,22112.9,22270.05,22081.25,22217.85
NIFTY 50,2024-09-13,22255.6,22297.55,22151.75,22200.55
NIFTY 50,2024-09-14,22319.2,22432.25,22054.55,22403.85
NIFTY 50,2024-09-15,22415.25,22502.15,22345.65,22466.1
NIFTY 50,2024-09-16,22512.85,22520.25,22470.05,22502
NIFTY 50,2024-09-17,22404.55,22591.1,22404.55,22529.05
NIFTY 50,2024-09-18,22576.6,22629.5,22483.15,22597.8
NIFTY 50,2024-09-19,22614.1,22993.6,22577.45,22967.65
NIFTY 50,2024-09-20,22930.75,23026.4,22908,22957.1
NIFTY 50,2024-09-21,23038.95,23110.8,22871.2,22932.45
NIFTY 50,2024-09-22,22977.15,22998.55,22858.5,22888.15
NIFTY 50,2024-09-23,22762.75,22825.5,22685.45,22704.7
NIFTY 50,2024-09-24,22617.45,22705.75,22417,22488.65
NIFTY 50,2024-09-25,22568.1,22653.75,22465.1,22530.7
NIFTY 50,2024-09-26,23337.9,23338.7,23062.3,23263.9
NIFTY 50,2024-09-27,23179.5,23179.5,21281.45,21884.5
NIFTY 50,2024-09-28,22128.35,22670.4,21791.95,22620.35
NIFTY 50,2024-09-29,22798.6,22910.15,22642.6,22821.4
NIFTY 50,2024-09-30,22821.85,23320.2,22789.05,23290.15
NIFTY 50,2024-10-01,23319.15,23411.9,23227.15,23259.2
NIFTY 50,2024-10-02,23283.75,23389.45,23206.65,23264.85
NIFTY 50,2024-10-03,23344.45,23441.95,23295.95,23322.95
NIFTY 50,2024-10-04,23480.95,23481.05,23353.9,23398.9
NIFTY 50,2024-10-05,23464.95,23490.4,23334.25,23465.6
NIFTY 50,2024-10-06,23570.8,23579.05,23499.7,23557.9
NIFTY 50,2024-10-07,23629.85,23664,23412.9,23516
NIFTY 50,2024-10-08,23586.15,23624,23442.6,23567
NIFTY 50,2024-10-09,23661.15,23667.1,23398.2,23501.1
NIFTY 50,2024-10-10,23382.3,23558.1,23350,23537.85
NIFTY 50,2024-10-11,23577.1,23754.15,23562.05,23721.3
NIFTY 50,2024-10-12,23723.1,23889.9,23670.45,23868.8
NIFTY 50,2024-10-13,23881.55,24087.45,23805.4,24044.5
NIFTY 50,2024-10-14,24085.9,24174,23985.8,24010.6
NIFTY 50,2024-10-15,23992.95,24164,23992.7,24141.95
NIFTY 50,2024-10-16,24228.75,24236.35,24056.4,24123.85
NIFTY 50,2024-10-17,24291.75,24309.15,24207.1,24286.5
NIFTY 50,2024-10-18,24369.95,24401,24281,24302.15
NIFTY 50,2024-10-19,24213.35,24363,24168.85,24323.85
NIFTY 50,2024-10-20,24329.45,24344.6,24240.55,24320.55
NIFTY 50,2024-10-21,24351,24443.6,24331.9,24433.2
NIFTY 50,2024-10-22,24459.85,24461.05,24141.8,24324.45
NIFTY 50,2024-10-23,24396.55,24402.65,24193.75,24315.95
NIFTY 50,2024-10-24,24387.95,24592.2,24331.15,24502.15
NIFTY 50,2024-10-25,24587.6,24635.05,24522.75,24586.7
NIFTY 50,2024-10-26,24615.9,24661.25,24587.65,24613
NIFTY 50,2024-10-27,24543.8,24837.75,24504.45,24800.85
NIFTY 50,2024-10-28,24853.8,24854.8,24508.15,24530.9
NIFTY 50,2024-10-29,24445.75,24595.2,24362.3,24509.25
NIFTY 50,2024-10-30,24568.9,24582.55,24074.2,24479.05
NIFTY 50,2024-10-31,24444.95,24504.25,24307.25,24413.5
NIFTY 50,2024-11-01,24230.95,24426.15,24210.8,24406.1
NIFTY 50,2024-11-02,24423.35,24861.15,24410.9,24834.85
NIFTY 50,2024-11-03,24943.3,24999.75,24774.6,24836.1
NIFTY 50,2024-11-04,24839.4,24971.75,24798.65,24857.3
NIFTY 50,2024-11-05,24886.7,24984.6,24856.5,24951.15
